variable,code,label,source_year
s45nm1d,98,No sabe,2024
s45nm1m,97,Inconsistente,2024
s45nm1m,98,No sabe,2024
s45nm1y,9997,Inconsistente,2024
s45nm1y,9998,No sabe,2024
s45nm2,0,No,2024
s45nm2,1,Vacuna fecha en la tarjeta,2024
s45nm2,2,Reportada por la madre,2024
s45nm2,3,Vacuna marcado en la tarjeta,2024
s45nm2,8,No sabe,2024
s45nm2d,97,Inconsistente,2024
s45nm2d,98,No sabe,2024
s45nm2m,97,Inconsistente,2024
s45nm2m,98,No sabe,2024
s45nm2y,9997,Inconsistente,2024
s45nm2y,9998,No sabe,2024
s45nm3,0,No,2024
s45nm3,1,Vacuna fecha en la tarjeta,2024
s45nm3,2,Reportada por la madre,2024
s45nm3,3,Vacuna marcado en la tarjeta,2024
s45nm3,8,No sabe,2024
s45nm3d,97,Inconsistente,2024
s45nm3d,98,No sabe,2024
s45nm3m,97,Inconsistente,2024
s45nm3m,98,No sabe,2024
s45nm3y,9997,Inconsistente,2024
s45nm3y,9998,No sabe,2024
s45p4,0,No,2024
s45p4,1,Vacuna fecha en la tarjeta,2024
s45p4,2,Reportada por la madre,2024
s45p4,3,Vacuna marcado en la tarjeta,2024
s45p4,8,No sabe,2024
s45p4d,97,Inconsistente,2024
s45p4d,98,No sabe,2024
s45p4m,97,Inconsistente,2024
s45p4m,98,No sabe,2024
s45p4y,9997,Inconsistente,2024
s45p4y,9998,No sabe,2024
s45p5,0,No,2024
s45p5,1,Vacuna fecha en la tarjeta,2024
s45p5,2,Reportada por la madre,2024
s45p5,3,Vacuna marcado en la tarjeta,2024
s45p5,8,No sabe,2024
s45p5d,97,Inconsistente,2024
s45p5d,98,No sabe,2024
s45p5m,97,Inconsistente,2024
s45p5m,98,No sabe,2024
s45p5y,9997,Inconsistente,2024
s45p5y,9998,No sabe,2024
s45pv1,0,No,2024
s45pv1,1,Vacuna fecha en la tarjeta,2024
s45pv1,2,Reportada por la madre,2024
s45pv1,3,Vacuna marcado en la tarjeta,2024
s45pv1,8,No sabe,2024
s45pv1d,97,Inconsistente,2024
s45pv1d,98,No sabe,2024
s45pv1m,97,Inconsistente,2024
s45pv1m,98,No sabe,2024
s45pv1y,9997,Inconsistente,2024
s45pv1y,9998,No sabe,2024
s45pv2,0,No,2024
s45pv2,1,Vacuna fecha en la tarjeta,2024
s45pv2,2,Reportada por la madre,2024
s45pv2,3,Vacuna marcado en la tarjeta,2024
s45pv2,8,No sabe,2024
s45pv2d,97,Inconsistente,2024
s45pv2d,98,No sabe,2024
s45pv2m,97,Inconsistente,2024
s45pv2m,98,No sabe,2024
s45pv2y,9997,Inconsistente,2024
s45pv2y,9998,No sabe,2024
s45pv3,0,No,2024
s45pv3,1,Vacuna fecha en la tarjeta,2024
s45pv3,2,Reportada por la madre,2024
s45pv3,3,Vacuna marcado en la tarjeta,2024
s45pv3,8,No sabe,2024
s45pv3d,97,Inconsistente,2024
s45pv3d,98,No sabe,2024
s45pv3m,97,Inconsistente,2024
s45pv3m,98,No sabe,2024
s45pv3y,9997,Inconsistente,2024
s45pv3y,9998,No sabe,2024
s45rt1,0,No,2024
s45rt1,1,Vacuna fecha en la tarjeta,2024
s45rt1,2,Reportada por la madre,2024
s45rt1,3,Vacuna marcado en la tarjeta,2024
s45rt1,8,No sabe,2024
s45rt1d,97,Inconsistente,2024
s45rt1d,98,No sabe,2024
s45rt1m,97,Inconsistente,2024
s45rt1m,98,No sabe,2024
s45rt1y,9997,Inconsistente,2024
s45rt1y,9998,No sabe,2024
s45rt2,0,No,2024
s45rt2,1,Vacuna fecha en la tarjeta,2024
s45rt2,2,Reportada por la madre,2024
s45rt2,3,Vacuna marcado en la tarjeta,2024
s45rt2,8,No sabe,2024
s45rt2d,97,Inconsistente,2024
s45rt2d,98,No sabe,2024
s45rt2m,97,Inconsistente,2024
s45rt2m,98,No sabe,2024
s45rt2y,9997,Inconsistente,2024
s45rt2y,9998,No sabe,2024
s45sp1,0,No,2024
s45sp1,1,Vacuna fecha en la tarjeta,2024
s45sp1,2,Reportada por la madre,2024
s45sp1,3,Vacuna marcado en la tarjeta,2024
s45sp1,8,No sabe,2024
s45sp1d,97,Inconsistente,2024
s45sp1d,98,No sabe,2024
s45sp1m,97,Inconsistente,2024
s45sp1m,98,No sabe,2024
s45sp1y,9997,Inconsistente,2024
s45sp1y,9998,No sabe,2024
s45sp2,0,No,2024
s45sp2,1,Vacuna fecha en la tarjeta,2024
s45sp2,2,Reportada por la madre,2024
s45sp2,3,Vacuna marcado en la tarjeta,2024
s45sp2,8,No sabe,2024
s45sp2d,97,Inconsistent,2013
s45sp2d,98,No sabe,2024
s45sp2m,97,Inconsistent,2013
s45sp2m,98,No sabe,2024
s45sp2y,9997,Inconsistente,2024
s45sp2y,9998,No sabe,2024
s45sr,0,No,2024
s45sr,1,Vacuna fecha en la tarjeta,2024
s45sr,2,Reportada por la madre,2024
s45sr,3,Vacuna marcado en la tarjeta,2024
s45sr,8,No sabe,2024
s45srd,97,Inconsistente,2024
s45srd,98,No sabe,2024
s45srm,97,Inconsistente,2024
s45srm,98,No sabe,2024
s45sry,9997,Inconsistente,2024
s45sry,9998,No sabe,2024
s45tt,0,No,2024
s45tt,1,Vacuna fecha en la tarjeta,2024
s45tt,2,Reportada por la madre,2024
s45tt,3,Vacuna marcado en la tarjeta,2024
s45tt,8,No sabe,2024
s45ttd,97,Inconsistente,2024
s45ttd,98,No sabe,2024
s45ttm,97,Inconsistente,2024
s45ttm,98,No sabe,2024
s45tty,9997,Inconsistente,2024
s45tty,9998,No sabe,2024
s45va3,0,No,2024
s45va3,1,Vacuna fecha en la tarjeta,2024
s45va3,2,Reportada por la madre,2024
s45va3,3,Vacuna marcado en la tarjeta,2024
s45va3,8,No sabe,2024
s45va3d,97,Inconsistente,2024
s45va3d,98,No sabe,2024
s45va3m,97,Inconsistente,2024
s45va3m,98,No sabe,2024
s45va3y,9997,Inconsistente,2024
s45va3y,9998,DK,2013
s462e,8,No sabe,2024
s465db_a,1,Si,2024
s465db_a,2,No,2024
s465db_a,8,No sabe,2024
s465db_b,1,Si,2024
s465db_b,2,No,2024
s465db_b,8,No sabe,2024
s465db_c,1,Si,2024
s465db_c,2,No,2024
s465db_c,8,No sabe,2024
s465db_d,1,Si,2024
s465db_d,2,No,2024
s465db_d,8,No sabe,2024
s465dd_ac,998,No sabe,2024
s465dd_ar,998,No sabe,2024
