variable,code,year,was,canonical
h42,8,2013,Don't know,No sabe
h43,1,2013,Yes,Si
h43,8,2013,Don't know,No sabe
h44a,17,2013,Health worker,Promotor de la salud
h44a,96,2013,Other,Otro
h44a,23,2013,Popular botiquin,Botiquin popular
h44a,98,2013,Can't be established,No sabe puede establecer
h44a,32,2013,Traditional healer,Curandero tradicional
h44a,16,2013,Center/post ESSALUD,Políclinico/Centro/Posta ESSALUD
h44a,24,2013,Pharmacy,Farmacia
h44a,21,2013,Private clinic,Clínica privada
h44a,14,2013,Health center MINSA,Centro de salud MINSA
h44a,31,2013,Friend/relative,Amigo/pariente
h44a,13,2013,Hospital F.F AA.and PNP,Hospital FF. AA. y PNP
h44a,22,2013,Private doctor,Médico privado
h44a,15,2013,Health post MINSA,Puesto de salud MINSA
h44b,0,2013,Same day,Mismo día
h44b,98,2013,Don't know,No sabe
h44c,1,2013,Yes,Si
h44c,8,2013,Don't know,No sabe
h45,98,2013,Don't know,No sabe
h46a,17,2013,Health worker,Trabajador de la salud
h46a,96,2013,Other,Otro
h46a,23,2013,Popular botiquin,Botiquin popular
h46a,98,2013,Can't be established,No sabe puede establecer
h46a,32,2013,Traditional healer,Curandero tradicional
h46a,16,2013,Center/post ESSALUD,Centro/publicar ESSALUD
h46a,24,2013,Pharmacy,Farmacia
h46a,21,2013,Private clinic,Clínica privada
h46a,14,2013,Health center MINSA,Centro de salud MINSA
h46a,31,2013,Friend/relative,Amigo/pariente
h46a,13,2013,Hospital F.F AA.and PNP,Hospital F.F AA.y PNP
h46a,22,2013,Private doctor,Médico privado
h46a,15,2013,Health post MINSA,Puesto de salud MINSA
h46b,0,2013,Same day,Mismo día
h46b,98,2013,Don't know,No sabe
h4d,97,2013,Inconsistent,Inconsistente
h4d,98,2013,DK,No sabe
h4m,97,2013,Inconsistent,Inconsistente
h4m,98,2013,DK,No sabe
h4y,9997,2013,Inconsistent,Inconsistente
h4y,9998,2013,DK,No sabe
h5,1,2013,Vacc. date on card,Vacuna fecha en la tarjeta
h5,2,2013,Reported by mother,Reportado por la madre
h5,3,2013,Vacc. marked on card,Vacuna marcado en la tarjeta
