module,column,year,code,resolved,dta
78,p606e1,2016,0,No marcado,pase
78,p606e1,2017,0,No marcado,pase
78,p606e1,2018,0,No marcado,pase
78,p606e1,2019,0,No marcado,pase
78,p606e1,2021,0,No marcado,pase
78,p606e1,2022,0,No marcado,pase
78,p606e1,2023,0,No marcado,pase
78,p606e1,2024,0,No marcado,pase
78,p606e2,2016,0,No marcado,pase
78,p606e2,2017,0,No marcado,pase
78,p606e2,2018,0,No marcado,pase
78,p606e2,2019,0,No marcado,pase
78,p606e2,2021,0,No marcado,pase
78,p606e2,2022,0,No marcado,pase
78,p606e2,2023,0,No marcado,pase
78,p606e2,2024,0,No marcado,pase
78,p606e3,2016,0,No marcado,pase
78,p606e3,2017,0,No marcado,pase
78,p606e3,2018,0,No marcado,pase
78,p606e3,2019,0,No marcado,pase
78,p606e3,2021,0,No marcado,pase
78,p606e3,2022,0,No marcado,pase
78,p606e3,2023,0,No marcado,pase
78,p606e3,2024,0,No marcado,pase
78,p606e4,2016,0,No marcado,pase
78,p606e4,2017,0,No marcado,pase
78,p606e4,2018,0,No marcado,pase
78,p606e4,2019,0,No marcado,pase
78,p606e4,2021,0,No marcado,pase
78,p606e4,2022,0,No marcado,pase
78,p606e4,2023,0,No marcado,pase
78,p606e4,2024,0,No marcado,pase
78,p606e5,2016,0,No marcado,pase
78,p606e5,2017,0,No marcado,pase
78,p606e5,2018,0,No marcado,pase
78,p606e5,2019,0,No marcado,pase
78,p606e5,2021,0,No marcado,pase
78,p606e5,2022,0,No marcado,pase
78,p606e5,2023,0,No marcado,pase
78,p606e5,2024,0,No marcado,pase
78,p606e6,2016,0,No marcado,pase
78,p606e6,2017,0,No marcado,pase
78,p606e6,2018,0,No marcado,pase
78,p606e6,2019,0,No marcado,pase
78,p606e6,2021,0,No marcado,pase
78,p606e6,2022,0,No marcado,pase
78,p606e6,2023,0,No marcado,pase
